DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,2,44790
MDI16-222-PRINCIPAL GOVT ITI BALH,Total, , , ,2,44790
 ,0230-LABOUR & EMPLOYMENT,Total, , ,2,44790
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,2,44790
 , , ,25/04/2018,Total,1,44400
 , , , ,"[F0230000001] HIMGRN:B18D117560, PRINCIPAL ITI BALH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -TUTION FEE OF 4TH SEM TRAINEES",1,44400
 , , ,26/06/2018,Total,1,390
 , , , ,"[H0230000001] HIMGRN:B18F117590, PRINCIPAL ITI BALH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -AMOUNT OF AUCTION OF old news papers.",1,390
