DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
 , , , ,"[F0029000010] HIMGRN:B17D113531, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,46
 , , , ,"[F0029000011] HIMGRN:B17D113284, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,89
 , , , ,"[F0029000012] HIMGRN:B17D113479, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,48
 , , , ,"[F0029000014] HIMGRN:B17D145809, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,46
 , , ,23/05/2017,Total,7,262
 , , , ,"[G0029000002] HIMGRN:B17E107205, TEHSLDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,62
 , , , ,"[G0029000003] HIMGRN:B17E107214, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,64
 , , , ,"[G0029000004] HIMGRN:B17E107230, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,2
 , , , ,"[G0029000005] HIMGRN:B17E107251, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,22
 , , , ,"[G0029000006] HIMGRN:B17E107265, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,94
 , , , ,"[G0029000007] HIMGRN:B17E107287, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,14
 , , , ,"[G0029000008] HIMGRN:B17E107298, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,4
 , , ,31/05/2017,Total,4,563
 , , , ,"[G0029000012] HIMGRN:B17E138752, NAIB TEHSILDAR COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,443
 , , , ,"[G0029000014] HIMGRN:B17E140183, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,48
 , , , ,"[G0029000015] HIMGRN:B17E140141, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,28
 , , , ,"[G0029000016] HIMGRN:B17E140162, TEHISLDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,44
 , , ,19/06/2017,Total,13,754
 , , , ,"[H0029000001] HIMGRN:B17F120338, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,20
 , , , ,"[H0029000002] HIMGRN:B17F120368, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,38
 , , , ,"[H0029000004] HIMGRN:B17F120380, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,46
 , , , ,"[H0029000006] HIMGRN:B17F120416, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,46
 , , , ,"[H0029000007] HIMGRN:B17F120444, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,56
 , , , ,"[H0029000008] HIMGRN:B17F120482, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,4
 , , , ,"[H0029000010] HIMGRN:B17F120504, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,70
 , , , ,"[H0029000011] HIMGRN:B17F120513, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,46
 , , , ,"[H0029000012] HIMGRN:B17F120534, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,56
 , , , ,"[H0029000013] HIMGRN:B17F120546, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,32
 , , , ,"[H0029000014] HIMGRN:B17F120393, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,228
 , , , ,"[H0029000015] HIMGRN:B17F120555, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,70
 , , , ,"[H0029000016] HIMGRN:B17F120351, TEHISLDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,42
 , , ,20/07/2017,Total,10,442
 , , , ,"[I0029000004] HIMGRN:B17G117458, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,10
 , , , ,"[I0029000005] HIMGRN:B17G117450, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,36
 , , , ,"[I0029000006] HIMGRN:B17G117436, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,12
 , , , ,"[I0029000007] HIMGRN:B17G117425, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,16
 , , , ,"[I0029000008] HIMGRN:B17G117408, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,62
 , , , ,"[I0029000009] HIMGRN:B17G117390, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,48
 , , , ,"[I0029000010] HIMGRN:B17G117363, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,112
 , , , ,"[I0029000011] HIMGRN:B17G117374, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,64
 , , , ,"[I0029000012] HIMGRN:B17G117106, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,26
 , , , ,"[I0029000014] HIMGRN:B17G128530, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,56
 , , ,31/07/2017,Total,1,361
 , , , ,"[I0029000016] HIMGRN:B17G145246, NAIB TEHSILDAR COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,361
 , , ,31/08/2017,Total,12,447
 , , , ,"[J0029000005] HIMGRN:B17H131464, TEHSILDAR GHUMARWIN MUTATION FEES -",1,10
 , , , ,"[J0029000006] HIMGRN:B17H131462, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,40
 , , , ,"[J0029000007] HIMGRN:B17H131468, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,8
 , , , ,"[J0029000008] HIMGRN:B17H131470, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,15
 , , , ,"[J0029000009] HIMGRN:B17H131460, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,4
 , , , ,"[J0029000010] HIMGRN:B17H131457, SUB RAGISTRAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,6
 , , , ,"[J0029000011] HIMGRN:B17H131453, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,32
 , , , ,"[J0029000012] HIMGRN:B17H131447, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,30
 , , , ,"[J0029000013] HIMGRN:B17H131445, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,14
 , , , ,"[J0029000014] HIMGRN:B17H131449, TEHSILDAR GHUMARWIN COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,104
