DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
 , , , ,"[D8782000004] HIMGRN:B18B123604, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -",1,4700
 , , , ,"[D8782000005] HIMGRN:B18B129039, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e- challan",1,12773
 , , , ,"[D8782000007] HIMGRN:B18B132678, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,18100
 , , ,21/03/2018,Total,2,307500
 , , , ,"[E8782000001] HIMGRN:B18C113122, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,91463
 , , , ,"[E8782000002] HIMGRN:B18C126171, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,216037
 , , ,26/03/2018,Total,1,36458
 , , , ,"[E8782000004] HIMGRN:B18C145547, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,36458
 , , ,31/03/2018,Total,1,16894
 , , , ,"[E8782000005] HIMGRN:B18C157949, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,16894
 , , ,07/04/2018,Total,1,14980
 , , , ,"[F8782000001] HIMGRN:B18D109219, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,14980
 , , ,21/04/2018,Total,1,11325
 , , , ,"[F8782000002] HIMGRN:B18D141070, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,11325
 , , ,27/04/2018,Total,1,190680
 , , , ,"[F8782000003] HIMGRN:B18D168146, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,190680
 , , ,22/05/2018,Total,1,75709
 , , , ,"[G8782000001] HIMGRN:B18E117212, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -echallan",1,75709
 , , ,29/05/2018,Total,2,427142
 , , , ,"[G8782000002] HIMGRN:B18E134004, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -echallan",1,86444
 , , , ,"[G8782000005] HIMGRN:B18E143996, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-CHALLAN",1,340698
 , , ,06/06/2018,Total,1,71530
 , , , ,"[H8782000001] HIMGRN:B18E152571, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -echallan",1,71530
 , , ,21/06/2018,Total,1,66984
 , , , ,"[H8782000002] HIMGRN:B18F121095, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -echallan",1,66984
 , , ,30/06/2018,Total,2,191342
 , , , ,"[H8782000004] HIMGRN:B18F133064, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,187632
 , , , ,"[H8782000006] HIMGRN:B18F143222, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,3710
 , , ,23/07/2018,Total,2,74829
 , , , ,"[I8782000001] HIMGRN:B18G106807, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,36367
 , , , ,"[I8782000002] HIMGRN:B18G118454, ASSSITANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,38462
 , , ,31/07/2018,Total,3,113486
 , , , ,"[I8782000003] HIMGRN:B18G132264, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,71428
 , , , ,"[I8782000004] HIMGRN:B18G140544, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E Challan",1,23658
 , , , ,"[I8782000007] HIMGRN:B18G149802, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,18400
 , , ,21/08/2018,Total,3,81117
 , , , ,"[J8782000001] HIMGRN:B18H108618, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,44892
 , , , ,"[J8782000002] HIMGRN:B18H117428, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -e-challan",1,13725
 , , , ,"[J8782000003] HIMGRN:B18H123158, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,22500
 , , ,31/08/2018,Total,1,53738
 , , , ,"[J8782000005] HIMGRN:B18H132960, ASSISTANT ENGINEER PUBLIC WORKS REMITTANCES -E-Challan",1,53738
